Date,Nav,Shares Outstanding,Total Net Assets,,,,,,,,,,
21-Mar-2007,143.350859,421243933.0,60385679719.88,,,,,,,,,,
20-Mar-2007,140.943726,416943933.0,58765631369.83,,,,,,,,,,
19-Mar-2007,140.05643,418493933.0,58612766202.69,,,,,,,,,,
16-Mar-2007,138.547181,468493933.0,64908513891.29,,,,,,,,,,
15-Mar-2007,139.632047,499543933.0,69752341765.76,,,,,,,,,,
14-Mar-2007,139.115779,494293933.0,68764085379.66,,,,,,,,,,
13-Mar-2007,138.185632,478743933.0,66155532763.49,,,,,,,,,,
12-Mar-2007,141.012436,429043933.0,60500530108.08,,,,,,,,,,
09-Mar-2007,140.634953,426493933.0,59979954189.41,,,,,,,,,,
08-Mar-2007,140.540602,421193933.0,59194848778.24,,,,,,,,,,
07-Mar-2007,139.539927,409443933.0,57133776681.2,,,,,,,,,,
06-Mar-2007,139.843459,407643933.0,57006337502.94,,,,,,,,,,
05-Mar-2007,137.711171,404343933.0,55682676439.56,,,,,,,,,,
02-Mar-2007,139.008773,420643933.0,58473197189.12,,,,,,,,,,
01-Mar-2007,140.606543,415843933.0,58470377829.27,,,,,,,,,,
28-Feb-2007,140.96821,414143933.0,58381128973.98,,,,,,,,,,
27-Feb-2007,140.167663,421143933.0,59030760921.57,,,,,,,,,,
26-Feb-2007,145.16165,431643933.0,62658145656.57,,,,,,,,,,
23-Feb-2007,145.326404,428643933.0,62293281465.85,,,,,,,,,,
22-Feb-2007,145.830581,432293933.0,63041675464.54,,,,,,,,,,
21-Feb-2007,145.922611,435393933.0,63533819315.66,,,,,,,,,,
20-Feb-2007,146.117698,437243933.0,63889077163.82,,,,,,,,,,
16-Feb-2007,145.694272,447243933.0,65160879062.98,,,,,,,,,,
15-Feb-2007,145.818085,443343933.0,64647563248.15,,,,,,,,,,
14-Feb-2007,145.653363,437593933.0,63737027887.25,,,,,,,,,,
13-Feb-2007,144.515516,436143933.0,63029565429.42,,,,,,,,,,
12-Feb-2007,143.402962,442343933.0,63433430404.57,,,,,,,,,,
09-Feb-2007,143.863091,449843933.0,64715938671.61,,,,,,,,,,
08-Feb-2007,144.882866,446593933.0,64703808838.39,,,,,,,,,,
07-Feb-2007,145.051924,443143933.0,64278880190.86,,,,,,,,,,
06-Feb-2007,144.791892,445143933.0,64453232365.32,,,,,,,,,,
05-Feb-2007,144.690657,448793933.0,64936289073.81,,,,,,,,,,
02-Feb-2007,144.818341,447043933.0,64740160689.83,,,,,,,,,,
01-Feb-2007,144.5733,446343878.0,64529407549.22,,,,,,,,,,
31-Jan-2007,143.76973,428422473.0,61594183114.53,,,,,,,,,,
30-Jan-2007,142.812079,435172473.0,62147885378.55,,,,,,,,,,
29-Jan-2007,141.992051,443872473.0,63026362610.55,,,,,,,,,,
26-Jan-2007,142.132767,445872473.0,63373088127.72,,,,,,,,,,
25-Jan-2007,142.305537,445972473.0,63464352303.06,,,,,,,,,,
24-Jan-2007,143.925246,446172473.0,64215483125.92,,,,,,,,,,
23-Jan-2007,142.710174,445772473.0,63616267345.79,,,,,,,,,,
22-Jan-2007,142.207669,447172473.0,63591354908.33,,,,,,,,,,
19-Jan-2007,142.958129,448972473.0,64184264780.73,,,,,,,,,,
18-Jan-2007,142.54481,447122473.0,63734987770.71,,,,,,,,,,
17-Jan-2007,142.966173,451722473.0,64581033074.48,,,,,,,,,,
16-Jan-2007,143.08108,453172473.0,64840406755.86,,,,,,,,,,
12-Jan-2007,142.966359,457872473.0,65460360524.16,,,,,,,,,,
11-Jan-2007,142.277585,454772473.0,64703929081.43,,,,,,,,,,
10-Jan-2007,141.380308,462622473.0,65405707722.86,,,,,,,,,,
09-Jan-2007,141.091368,464872473.0,65589493200.31,,,,,,,,,,
08-Jan-2007,141.164953,466872473.0,65906030901.91,,,,,,,,,,
05-Jan-2007,140.807076,463472473.0,65260203609.59,,,,,,,,,,
04-Jan-2007,141.670871,459122473.0,65044280516.86,,,,,,,,,,
03-Jan-2007,141.49824,455022473.0,64384878968.58,,,,,,,,,,
02-Jan-2007,0.0,0.0,0.0,,,,,,,,,,
29-Dec-2006,141.642143,451822473.0,63997103292.08,,,,,,,,,,
28-Dec-2006,142.281706,452472473.0,64378555164.61,,,,,,,,,,
27-Dec-2006,142.486445,449972473.0,64114978201.75,,,,,,,,,,
26-Dec-2006,141.464121,451972473.0,63937888647.71,,,,,,,,,,
22-Dec-2006,140.849288,449522473.0,63314920430.41,,,,,,,,,,
21-Dec-2006,141.581799,442772473.0,62688523286.79,,,,,,,,,,
20-Dec-2006,142.071313,441072473.0,62663745535.14,,,,,,,,,,
19-Dec-2006,142.269047,442122473.0,62900342761.35,,,,,,,,,,
18-Dec-2006,141.956769,438622473.0,62265429190.32,,,,,,,,,,
15-Dec-2006,142.415998,460472473.0,65578646858.43,,,,,,,,,,
14-Dec-2006,143.048764,494372473.0,70719371258.45,,,,,,,,,,
13-Dec-2006,141.81259,492372473.0,69824615405.21,,,,,,,,,,
12-Dec-2006,141.621505,489372473.0,69305666351.07,,,,,,,,,,
11-Dec-2006,141.765809,452322473.0,64123861320.33,,,,,,,,,,
08-Dec-2006,141.443167,453972473.0,64211304519.99,,,,,,,,,,
07-Dec-2006,141.185433,453972473.0,64094299998.96,,,,,,,,,,
06-Dec-2006,141.740573,453972473.0,64346318332.56,,,,,,,,,,
05-Dec-2006,141.88841,454722473.0,64519848880.55,,,,,,,,,,
04-Dec-2006,141.321699,457222473.0,64615456731.67,,,,,,,,,,
01-Dec-2006,140.080006,471172473.0,66001843072.27,,,,,,,,,,
30-Nov-2006,140.470368,471172473.0,66185770579.33,,,,,,,,,,
29-Nov-2006,140.354145,472922473.0,66376629344.19,,,,,,,,,,
28-Nov-2006,139.021974,479972473.0,66726720532.83,,,,,,,,,,
27-Nov-2006,138.518576,482822473.0,66879881491.3,,,,,,,,,,
24-Nov-2006,140.414173,484322473.0,68005739365.5,,,,,,,,,,
22-Nov-2006,140.914113,484322473.0,68247871662.25,,,,,,,,,,
21-Nov-2006,140.574428,486322473.0,68364503306.39,,,,,,,,,,
20-Nov-2006,140.338327,495072473.0,69477642848.51,,,,,,,,,,
17-Nov-2006,140.402533,488522473.0,68589792632.05,,,,,,,,,,
16-Nov-2006,140.259018,480422473.0,67383584103.72,,,,,,,,,,
15-Nov-2006,139.93762,478922473.0,67019271252.12,,,,,,,,,,
14-Nov-2006,139.570748,475022473.0,66299241848.7,,,,,,,,,,
13-Nov-2006,138.675052,474022473.0,65735090924.45,,,,,,,,,,
10-Nov-2006,138.290791,479022473.0,66244396631.78,,,,,,,,,,
09-Nov-2006,138.035324,477872473.0,65963281557.54,,,,,,,,,,
08-Nov-2006,138.744424,475372473.0,65955280050.95,,,,,,,,,,
07-Nov-2006,138.424127,475372473.0,65803019668.94,,,,,,,,,,
06-Nov-2006,138.116355,477372473.0,65932945791.13,,,,,,,,,,
03-Nov-2006,136.56662,477872473.0,65261428389.42,,,,,,,,,,
02-Nov-2006,136.862346,481372473.0,65881765802.89,,,,,,,,,,
01-Nov-2006,136.87245,487122473.0,66673646325.8,,,,,,,,,,
31-Oct-2006,137.865878,472950096.0,65203680282.15,,,,,,,,,,
30-Oct-2006,137.864353,471150096.0,64954803170.6,,,,,,,,,,
27-Oct-2006,137.801129,463850096.0,63919066816.87,,,,,,,,,,
26-Oct-2006,138.951526,459950096.0,63910767731.68,,,,,,,,,,
25-Oct-2006,138.259156,459950096.0,63592312295.4,,,,,,,,,,
24-Oct-2006,137.774406,458950096.0,63231576770.07,,,,,,,,,,
23-Oct-2006,137.740512,448550096.0,61783520063.11,,,,,,,,,,
20-Oct-2006,136.896886,452550096.0,61952698818.16,,,,,,,,,,
19-Oct-2006,136.733868,451450096.0,61728517939.7,,,,,,,,,,
18-Oct-2006,136.628405,450850096.0,61598929569.9,,,,,,,,,,
17-Oct-2006,136.426293,452850096.0,61780659762.42,,,,,,,,,,
16-Oct-2006,136.925452,450150096.0,61637005264.08,,,,,,,,,,
13-Oct-2006,136.58157,450150096.0,61482206979.81,,,,,,,,,,
12-Oct-2006,136.303521,448600096.0,61145772425.27,,,,,,,,,,
11-Oct-2006,135.01564,448600096.0,60568029099.05,,,,,,,,,,
10-Oct-2006,135.348352,441250096.0,59722473486.39,,,,,,,,,,
09-Oct-2006,135.068648,441250096.0,59599053733.7,,,,,,,,,,
06-Oct-2006,134.961152,427250096.0,57662164963.52,,,,,,,,,,
05-Oct-2006,135.324131,425750096.0,57614261667.14,,,,,,,,,,
04-Oct-2006,134.987504,438750096.0,59225780500.6,,,,,,,,,,
03-Oct-2006,133.349357,431250096.0,57506922869.6,,,,,,,,,,
02-Oct-2006,133.070325,431250096.0,57386590250.74,,,,,,,,,,
29-Sep-2006,133.520638,433750096.0,57914589594.71,,,,,,,,,,
28-Sep-2006,133.849408,428000096.0,57287559646.03,,,,,,,,,,
27-Sep-2006,133.590894,427250096.0,57076722311.77,,,,,,,,,,
26-Sep-2006,133.541728,426650096.0,56975591267.14,,,,,,,,,,
25-Sep-2006,132.544472,424450096.0,56258513872.17,,,,,,,,,,
