Date,Discount
21-May-14,0
20-May-14,-0.02
19-May-14,-0.02
16-May-14,0.02
15-May-14,0.01
14-May-14,-0.01
13-May-14,0.01
12-May-14,-0.02
9-May-14,0.01
8-May-14,0.01
7-May-14,0.01
6-May-14,0.03
5-May-14,-0.01
2-May-14,0
1-May-14,0
30-Apr-14,0.01
29-Apr-14,-0.02
28-Apr-14,0
25-Apr-14,0.02
24-Apr-14,0.02
23-Apr-14,0
22-Apr-14,0
21-Apr-14,-0.02
17-Apr-14,-0.01
16-Apr-14,-0.01
15-Apr-14,0.01
14-Apr-14,-0.02
11-Apr-14,0.01
10-Apr-14,-0.03
9-Apr-14,0.01
8-Apr-14,0.03
7-Apr-14,0
4-Apr-14,0.04
3-Apr-14,-0.02
2-Apr-14,0
1-Apr-14,-0.03
31-Mar-14,0.01
28-Mar-14,-0.02
27-Mar-14,-0.01
26-Mar-14,-0.01
25-Mar-14,0.04
24-Mar-14,-0.01
21-Mar-14,-0.07
20-Mar-14,0.02
19-Mar-14,0.05
18-Mar-14,-0.02
17-Mar-14,-0.02
14-Mar-14,0
13-Mar-14,0.03
12-Mar-14,-0.02
11-Mar-14,0
10-Mar-14,0.02
7-Mar-14,0
6-Mar-14,0.04
5-Mar-14,0
4-Mar-14,-0.02
3-Mar-14,0.01
28-Feb-14,0.03
27-Feb-14,0.05
26-Feb-14,0.01
25-Feb-14,0.01
24-Feb-14,-0.02
21-Feb-14,0.01
20-Feb-14,-0.03
19-Feb-14,-0.03
18-Feb-14,-0.01
14-Feb-14,-0.01
13-Feb-14,-0.04
12-Feb-14,0.01
11-Feb-14,-0.05
10-Feb-14,-0.01
7-Feb-14,-0.03
6-Feb-14,0.02
5-Feb-14,0
4-Feb-14,-0.03
3-Feb-14,0.04
31-Jan-14,-0.03
30-Jan-14,0
29-Jan-14,0
28-Jan-14,-0.03
27-Jan-14,-0.01
24-Jan-14,0
23-Jan-14,0.04
22-Jan-14,0.01
21-Jan-14,-0.01
17-Jan-14,-0.05
16-Jan-14,0
15-Jan-14,0.01
14-Jan-14,-0.01
13-Jan-14,-0.01
10-Jan-14,0.02
9-Jan-14,0.01
8-Jan-14,0
7-Jan-14,-0.05
6-Jan-14,-0.01
3-Jan-14,-0.05
2-Jan-14,0
31-Dec-13,0.01
30-Dec-13,0
27-Dec-13,0.01
26-Dec-13,0.01
24-Dec-13,-0.01
23-Dec-13,0.02
20-Dec-13,0.07
19-Dec-13,-0.01
18-Dec-13,0.04
17-Dec-13,-0.02
16-Dec-13,0
13-Dec-13,0.01
12-Dec-13,0.04
11-Dec-13,-0.03
10-Dec-13,0.01
9-Dec-13,0.03
6-Dec-13,-0.03
5-Dec-13,0.01
4-Dec-13,-0.03
3-Dec-13,-0.03
2-Dec-13,0.02
29-Nov-13,-0.04
27-Nov-13,0.01
26-Nov-13,0.04
25-Nov-13,0.04
22-Nov-13,-0.02
21-Nov-13,-0.01
20-Nov-13,0
19-Nov-13,-0.01
18-Nov-13,0.03
15-Nov-13,0
14-Nov-13,0
13-Nov-13,-0.03
12-Nov-13,0.03
11-Nov-13,-0.03
8-Nov-13,0.01
7-Nov-13,0.04
6-Nov-13,-0.01
5-Nov-13,0
4-Nov-13,0.02
1-Nov-13,-0.01
31-Oct-13,0.03
30-Oct-13,0.02
29-Oct-13,0.04
28-Oct-13,0.03
25-Oct-13,0
24-Oct-13,-0.01
23-Oct-13,0.01
22-Oct-13,0
21-Oct-13,-0.02
18-Oct-13,-0.02
17-Oct-13,-0.04
16-Oct-13,-0.02
15-Oct-13,-0.02
14-Oct-13,0
11-Oct-13,-0.01
10-Oct-13,-0.02
9-Oct-13,0.01
8-Oct-13,0.02
7-Oct-13,-0.01
4-Oct-13,-0.02
